URL,Title,Body
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/1.html,ログイン・ログアウト,ログイン・ログアウト kibacoはEdgeなどのWebブラウザを使って利用します。 注意InternetExplorerは利用できなくなりました。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/1-1.html,ログイン,ログイン kibacoはEdgeなどのWebブラウザを使って利用します。注意InternetExplorerは利用できなくなりました 手順 ①ブラウザを立ち上げ、次のURLを入力します。https://kibacotmuacjp/ ②教員・学生は左側のリンクを、職員とローカルIDは右側のリンクをクリックします。 ③職員とローカルIDの場合、上の画面が表示されます。ユーザIDとパスワードを入力しログインをクリックします。 ④教員・学生の場合、上の画面が表示されます。ユーザIDとパスワードを入力しログインをクリックします。 ⑤ログインが成功すると、マイページが表示されます。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/1-2.html,ログアウト,ログアウト ①画面右上のアイコンをクリックします。 ②ログアウトをクリック
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/1-3.html,ログインできない場合,ログインできない場合 ①ログインに失敗した場合、上の画面が表示されます ②リンクをクリックします ③FAQのページが表示されますので、参照の上ご対応ください。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/2.html,画面の構成,画面の構成 基本的な画面の構成を説明します。 ①授業選択領域登録している授業を表示します。 ヒント画面下部にあるアイコン（ ）をクリックすると、この領域を狭くすることが出来ます。③メイン領域選択した機能のコンテンツを表示します。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/2-1.html,マイページモードと授業モード,マイページモードと授業モード 授業選択領域にあるタブをクリックすることにより次のモードを選択できます。なお、マイページモードと授業モードでは機能選択領域に表示される機能が異なります。 マイページモード：個人設定を行います。また、参加しているすべての授業について情報を表示します。 授業モード：それぞれの授業の管理を行います。 マイページモード画面 授業モード画面
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/2-2.html,リセットボタン,リセットボタン メイン領域に表示されている各機能のタイトルをクリックするとリセットすることが出来ます。リセットボタンを利用することで、それぞれの機能のトップページを安全に表示することが出来ます。 「リセットして機能名トップに戻る」のボタンでもリセットすることができます。 リセットボタンを押した場合は、行っていた作業内容が初期化されます。作業内容を保存したい場合は「保存」ボタンや「更新」ボタンを押した後、各機能のトップページを表示するよう、ご注意下さい。 注意ブラウザの「戻る」ボタンとの違いテスト等でのトラブルの恐れがあるので、ブラウザの「戻る」ボタンは使わないでください。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/3.html,画面設定機能,画面設定機能 画面設定では、授業ボタンの表示・非表示・並べ替えの設定が行えます。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/3-1.html,表示されている授業ボタンを非表示にする,表示されている授業ボタンを非表示にする ①画面右上のアイコン（ ）をクリックします。 ②「★」リンクをクリックします。☆が非表示となります。③×をクリックします。 ④リロードをクリックします。 ⑤☆に設定した授業のタブが非表示になります。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/3-2.html,非表示の授業ボタンを表示させる,非表示の授業ボタンを表示させる ①画面右上のアイコン（ ）をクリックします。 ②「☆」リンクをクリックします。★が表示となります。③×をクリックします。 ④リロードをクリックします ⑤★に設定した授業のタブが表示されます
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/3-3.html,表示されている授業ボタンの順番を並び替える,表示されている授業ボタンの順番を並び替える ①画面右上のアイコン（ ）をクリックします。 ②お気に入りの編成をクリックします。 ③順番を変更したい授業の右端にあるアイコン（）をドラッグ（マウスボタンを押したままに）します。 ④順番を入れ替えたいところまでドラッグ（マウスボタンを押したままに）しながら移動します。 ⑤入れ替えたいところでドロップ（マウスボタンを離す）します。⑥×をクリックします。 ⑦リロードをクリックします。 ⑧順番が入れ替わります。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/4.html,アカウント機能,アカウント機能 アカウントでは、アカウント詳細の表示、ローカルIDのパスワードの変更が行えます。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/4-1.html,ローカルIDのパスワードを変更する,ローカルIDのパスワードを変更する アカウント機能では、アカウント詳細の表示、ローカルIDのパスワードの変更が行えます。 ①「パスワードを変更」ボタンをクリックします。 ヒントローカルIDでkibacoにログインしている場合のみボタンが表示されます。 ②現在のパスワードを入力します。 ③新規パスワードを入力します。 ④新規パスワードを再入力します。 ⑤「詳細を更新」ボタンをクリックします。 新規パスワードは以下のルールで設定してください。
https://www.comp.tmu.ac.jp/e-learning/kibaco/documents/5.html,授業情報の機能,授業情報の機能 授業情報機能では、該当授業に対して以下の変更を行うことができます。
